 ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   172000    2.815    0.000    3.435    0.000 main_classes.py:300(find_particles_within_reactionradius)
       43    0.885    0.021    3.038    0.071 main_classes.py:209(attract_particles)
       43    0.885    0.021    3.050    0.071 main_classes.py:248(repel_particles)
  3272379    0.883    0.000    0.883    0.000 {method 'get' of 'dict' objects}
   172135    0.474    0.000    0.474    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.379    0.379    7.607    7.607 run_sim.py:15(main)
        1    0.301    0.301    0.387    0.387 {built-in method pygame.base.init}
        1    0.102    0.102    0.103    0.103 {built-in method pygame.display.set_mode}
        1    0.101    0.101    0.101    0.101 {built-in method pygame.base.quit}
   344000    0.097    0.000    0.097    0.000 run_sim.py:88(<genexpr>)
    86172    0.091    0.000    0.091    0.000 {built-in method pygame.draw.circle}
        1    0.083    0.083    0.083    0.083 {built-in method _imp.create_dynamic}
   172045    0.082    0.000    0.548    0.000 _methods.py:68(_all)
   180000    0.078    0.000    0.117    0.000 random.py:498(uniform)
       45    0.058    0.001    0.068    0.002 main_classes.py:289(build_spatial_index)
   172000    0.042    0.000    0.042    0.000 fromnumeric.py:2127(shape)
   180000    0.039    0.000    0.039    0.000 {method 'random' of '_random.Random' objects}
       43    0.038    0.001    0.038    0.001 {built-in method pygame.display.flip}
    86000    0.034    0.000    0.034    0.000 main_classes.py:58(move_particle)
   172000    0.032    0.000    0.032    0.000 fromnumeric.py:2123(_shape_dispatcher)
       43    0.025    0.001    0.025    0.001 {built-in method pygame.event.get}
        2    0.013    0.007    0.013    0.007 {built-in method _io.open}
       43    0.008    0.000    0.008    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
      688    0.008    0.000    0.008    0.000 {method 'render' of 'pygame.font.Font' objects}
     2000    0.006    0.000    0.016    0.000 main_classes.py:151(generate_particle_colors)
        1    0.005    0.005    0.038    0.038 main_classes.py:29(generate_particles)
      989    0.004    0.000    0.004    0.000 {built-in method pygame.draw.rect}
     1032    0.004    0.000    0.004    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
     2000    0.003    0.000    0.005    0.000 main_classes.py:140(__init__)
     2000    0.002    0.000    0.004    0.000 random.py:245(_randbelow_with_getrandbits)
     2000    0.002    0.000    0.007    0.000 random.py:345(choice)
    10051    0.002    0.000    0.002    0.000 {built-in method builtins.len}
       43    0.002    0.000    0.008    0.000 gui.py:129(draw_interaction_matrix)
       43    0.002    0.000    0.002    0.000 {method 'tick' of 'pygame.time.Clock' objects}
      172    0.002    0.000    0.002    0.000 {built-in method pygame.draw.line}
       43    0.001    0.000    0.007    0.000 gui.py:202(draw_sliders)
       43    0.001    0.000    0.004    0.000 gui.py:167(draw_repulsion_matrix)
      508    0.001    0.000    0.007    0.000 particle_classes.py:34(__init__)
      486    0.001    0.000    0.006    0.000 particle_classes.py:73(__init__)
      491    0.001    0.000    0.006    0.000 particle_classes.py:54(__init__)
      515    0.001    0.000    0.006    0.000 particle_classes.py:15(__init__)
     4110    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
     2000    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
        5    0.001    0.000    0.001    0.000 {built-in method nt.stat}
        1    0.001    0.001    0.014    0.014 gui.py:22(__init__)
     2014    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      515    0.001    0.000    0.002    0.000 main_classes.py:170(<lambda>)
      508    0.001    0.000    0.002    0.000 main_classes.py:171(<lambda>)
      491    0.001    0.000    0.002    0.000 main_classes.py:172(<lambda>)
      486    0.001    0.000    0.002    0.000 main_classes.py:173(<lambda>)
        1    0.001    0.001    0.001    0.001 {built-in method _io.open_code}
       90    0.001    0.000    0.008    0.000 fromnumeric.py:69(_wrapreduction)
     2000    0.001    0.000    0.001    0.000 {method 'bit_length' of 'int' objects}
       43    0.000    0.000    0.024    0.001 gui.py:102(draw)
       43    0.000    0.000    0.000    0.000 {method 'subsurface' of 'pygame.surface.Surface' objects}
       43    0.000    0.000    0.002    0.000 gui.py:228(draw_buttons)
       86    0.000    0.000    0.000    0.000 {method 'get_rect' of 'pygame.surface.Surface' objects}
       45    0.000    0.000    0.005    0.000 fromnumeric.py:3203(amax)
        1    0.000    0.000    0.000    0.000 {built-in method pygame.display.set_caption}
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       90    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
       45    0.000    0.000    0.004    0.000 fromnumeric.py:3347(amin)
        2    0.000    0.000    0.014    0.007 pkgdata.py:45(getResource)
       90    0.000    0.000    0.000    0.000 _function_base_impl.py:908(copy)
       90    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      2/1    0.000    0.000    0.086    0.086 <frozen importlib._bootstrap>:1349(_find_and_load)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
